Fecha;Hora;Voltaje; Corriente; Potencia
15/06/2024;12:30:00;127.90;8.34;910.60
15/06/2024;12:35:00;127.90;8.34;910.50
15/06/2024;12:40:00;127.90;7.86;824.10
15/06/2024;12:45:00;127.90;11.22;1382.70
15/06/2024;12:50:00;127.90;15.27;1912.00
15/06/2024;12:55:00;127.90;14.16;1760.10
15/06/2024;13:00:00;128.20;7.30;889.60
15/06/2024;13:05:00;128.60;15.53;1954.50
15/06/2024;13:10:00;127.90;5.50;668.10
15/06/2024;13:15:00;128.40;5.56;677.10
15/06/2024;13:20:00;128.20;10.86;1326.80
15/06/2024;13:25:00;128.30;10.79;1316.60
15/06/2024;13:30:00;128.30;13.25;1661.50
15/06/2024;13:35:00;128.00;15.13;1905.60
15/06/2024;13:40:00;128.20;14.91;1882.00
15/06/2024;13:45:00;128.00;12.76;1599.10
15/06/2024;13:50:00;128.10;12.76;1600.00
15/06/2024;13:55:00;128.10;14.86;1868.30
15/06/2024;14:00:00;128.10;8.67;1072.00
15/06/2024;14:05:00;128.50;8.67;1074.10
15/06/2024;14:10:00;128.40;15.05;1901.20
15/06/2024;14:15:00;128.00;14.88;1873.70
15/06/2024;14:20:00;128.50;12.71;1600.00
15/06/2024;14:25:00;128.40;9.85;1238.00
15/06/2024;14:30:00;128.40;9.59;1203.70
15/06/2024;14:35:00;128.50;8.82;1094.10
15/06/2024;14:40:00;128.50;8.54;1056.70
15/06/2024;14:45:00;128.30;14.93;1885.60
15/06/2024;14:50:00;128.20;12.76;1601.30
15/06/2024;14:55:00;128.10;12.68;1587.10
15/06/2024;15:00:00;128.10;14.76;1858.30
15/06/2024;15:05:00;128.50;12.65;1589.60
15/06/2024;15:10:00;129.30;3.82;405.50
15/06/2024;15:15:00;129.00;10.69;1350.60
15/06/2024;15:20:00;128.80;14.78;1871.90
15/06/2024;15:25:00;129.00;12.56;1584.20
15/06/2024;15:30:00;128.70;12.56;1581.10
15/06/2024;15:35:00;128.30;10.91;1331.80
15/06/2024;15:40:00;128.60;3.76;398.80
15/06/2024;15:45:00;128.10;13.97;1750.50
15/06/2024;15:50:00;127.90;14.63;1838.00
15/06/2024;15:55:00;128.10;12.53;1569.80
15/06/2024;16:00:00;128.00;3.80;402.30
15/06/2024;16:05:00;128.20;5.94;704.20
15/06/2024;16:10:00;127.90;14.88;1873.80
15/06/2024;16:15:00;128.30;12.56;1574.50
15/06/2024;16:20:00;128.30;8.58;1060.90
15/06/2024;16:25:00;128.40;10.82;1323.00
15/06/2024;16:30:00;128.70;13.03;1643.80
15/06/2024;16:35:00;128.70;12.59;1587.30
15/06/2024;16:40:00;128.70;8.63;1071.70
15/06/2024;16:45:00;129.10;8.58;1067.40
15/06/2024;16:50:00;128.90;8.58;1066.40
15/06/2024;16:55:00;129.30;6.74;709.10
15/06/2024;17:00:00;128.90;12.99;1615.30
15/06/2024;17:05:00;129.20;11.94;1490.90
15/06/2024;17:10:00;129.00;10.66;1215.30
15/06/2024;17:15:00;129.20;7.23;821.60
15/06/2024;17:20:00;128.80;9.87;1219.00
15/06/2024;17:25:00;129.00;13.71;1733.20
15/06/2024;17:30:00;129.30;12.81;1622.30
15/06/2024;17:35:00;129.00;14.87;1883.10
15/06/2024;17:40:00;128.80;10.86;1329.90
15/06/2024;17:45:00;128.30;13.55;1698.00
15/06/2024;17:50:00;130.10;12.53;1563.90
15/06/2024;17:55:00;129.90;10.78;1309.70
15/06/2024;18:00:00;129.50;8.50;1038.60
15/06/2024;18:05:00;128.80;13.13;1629.60
15/06/2024;18:10:00;128;14.44;1797.70
15/06/2024;18:15:00;128;8.54;1041.90
15/06/2024;18:20:00;128.60;3.77;399.40
15/06/2024;18:25:00;129.10;9.82;1221.80
15/06/2024;18:30:00;129.60;14.50;1802.30
15/06/2024;18:35:00;129.40;8.42;1024.60
15/06/2024;18:40:00;129.60;8.90;1053.60
15/06/2024;18:45:00;129.60;15.39;1923.20
15/06/2024;18:50:00;129.90;8.52;1045.40
15/06/2024;18:55:00;129.80;8.39;1028.80
15/06/2024;19:00:00;129.50;9.71;1210.20
15/06/2024;19:05:00;130.20;14.99;1879.90
15/06/2024;19:10:00;129.90;8.43;1033.00
15/06/2024;19:15:00;129.40;13.16;1641.60
15/06/2024;19:20:00;129.40;9.18;1146.40
15/06/2024;19:25:00;128.10;8.75;1079.00
15/06/2024;19:30:00;128.00;8.39;1030.40
15/06/2024;19:35:00;127.90;7.76;920.10
15/06/2024;19:40:00;129.20;5.55;652.70
15/06/2024;19:45:00;129.20;8.49;1042.70
15/06/2024;19:50:00;129.20;12.84;1604.70
15/06/2024;19:55:00;129.70;9.14;1144.40
15/06/2024;20:00:00;129.40;9.02;1116.20
15/06/2024;20:05:00;129.60;13.17;1646.40
15/06/2024;20:10:00;128.00;7.59;901.50
15/06/2024;20:15:00;128.10;5.53;651.40
15/06/2024;20:20:00;128.40;8.57;1059.20
15/06/2024;20:25:00;128.50;12.35;1551.70
15/06/2024;20:30:00;128.90;5.60;664.40
15/06/2024;20:35:00;128.70;9.23;1149.40
15/06/2024;20:40:00;128.80;12.61;1587.50
15/06/2024;20:45:00;129.00;7.50;898.00
15/06/2024;20:50:00;129.10;5.50;652.30
15/06/2024;20:55:00;129.00;13.20;1666.60
15/06/2024;21:00:00;128.90;8.35;1033.90
15/06/2024;21:05:00;129.00;3.74;402.70
15/06/2024;21:10:00;128.80;9.10;1132.60
15/06/2024;21:15:00;128.70;10.64;1296.80
15/06/2024;21:20:00;129.30;9.98;1264.10
15/06/2024;21:25:00;128.80;7.67;917.10
