Fecha;Hora;Voltaje;Corriente;Potencia
10/08/2024;13:35:00;129.2;2.10;211.63
10/08/2024;13:40:00;128.8;2.04;202.32
10/08/2024;13:45:00;128.7;2.09;212.50
10/08/2024;13:50:00;128.8;2.07;210.63
10/08/2024;13:55:00;128.7;2.08;211.48
10/08/2024;14:00:00;128.9;2.05;203.47
10/08/2024;14:05:00;129;2.07;210.95
10/08/2024;14:10:00;129.2;2.11;215.36
10/08/2024;14:15:00;128.9;2.07;210.79
10/08/2024;14:20:00;128.9;2.07;210.79
10/08/2024;14:25:00;128.9;2.09;210.13
10/08/2024;14:30:00;128.6;2.08;211.32
10/08/2024;14:35:00;128.7;2.11;214.53
10/08/2024;14:40:00;128.6;2.08;211.32
10/08/2024;14:45:00;128.7;2.10;210.81
10/08/2024;14:50:00;128.7;2.04;210.04
10/08/2024;14:55:00;128.9;2.06;209.77
10/08/2024;15:00:00;128.8;2.08;211.64
10/08/2024;15:05:00;128.9;2.09;212.83
10/08/2024;15:10:00;128.9;2.06;209.77
10/08/2024;15:15:00;128.9;2.07;210.79
10/08/2024;15:20:00;129;2.13;214.32
10/08/2024;15:25:00;129.1;2.08;212.14
10/08/2024;15:30:00;129;2.07;210.95
10/08/2024;15:35:00;129.2;2.10;217.06
10/08/2024;15:40:00;129.1;2.07;208.44
10/08/2024;15:45:00;129.3;2.08;209.78
10/08/2024;15:50:00;129.4;2.11;215.70
10/08/2024;15:55:00;129.3;2.12;213.81
10/08/2024;16:00:00;129.5;2.10;212.12
10/08/2024;16:05:00;129.7;2.05;204.73
10/08/2024;16:10:00;130.1;2.08;208.37
10/08/2024;16:15:00;130;2.10;215.67
10/08/2024;16:20:00;130;2.10;215.67
10/08/2024;16:25:00;129.9;2.10;215.50
10/08/2024;16:30:00;129.9;2.08;213.45
10/08/2024;16:35:00;130.1;2.11;214.12
10/08/2024;16:40:00;130.2;2.08;208.53
10/08/2024;16:45:00;130.5;2.04;204.99
10/08/2024;16:50:00;130;2.14;219.78
10/08/2024;16:55:00;130.2;2.12;215.30
10/08/2024;17:00:00;130.2;2.10;216.00
10/08/2024;17:05:00;130.2;2.10;213.27
10/08/2024;17:10:00;130.2;2.13;216.31
10/08/2024;17:15:00;130;2.09;211.93
10/08/2024;17:20:00;130;2.10;212.94
10/08/2024;17:25:00;130.2;2.08;208.53
10/08/2024;17:30:00;130.2;2.08;211.24
10/08/2024;17:35:00;130.2;2.08;211.24
