Fecha;Hora;Voltaje;Corriente;Potencia
01/07/2024;0:15:00;126.768;0.008;-0.99
01/07/2024;0:30:00;126.784;0.007;-0.85
01/07/2024;0:45:00;126.746;0.009;-1.13
01/07/2024;1:00:00;126.761;0.007;-0.94
01/07/2024;1:15:00;126.725;0.01;-1.28
01/07/2024;1:30:00;126.725;0.009;-1.18
01/07/2024;1:45:00;126.777;0.006;-0.790001
01/07/2024;2:00:00;126.794;0.006;-0.790001
01/07/2024;2:15:00;126.778;0.006;-0.789999
01/07/2024;2:30:00;126.721;0.009;-1.2
01/07/2024;2:45:00;126.735;0.009;-1.12
01/07/2024;3:00:00;126.765;0.008;-1.01
01/07/2024;3:15:00;126.777;0.007;-0.889999
01/07/2024;3:30:00;126.73;0.01;-1.26
01/07/2024;3:45:00;126.746;0.009;-1.13
01/07/2024;4:00:00;126.75;0.009;-1.08
01/07/2024;4:15:00;126.779;0.007;-0.880001
01/07/2024;4:30:00;126.797;0.006;-0.800001
01/07/2024;4:45:00;126.754;0.009;-1.08
01/07/2024;5:00:00;126.749;0.008;-1.03
01/07/2024;5:15:00;126.755;0.008;-0.979999
01/07/2024;5:30:00;126.773;0.007;-0.910001
01/07/2024;5:45:00;126.73;0.009;-1.19
01/07/2024;6:00:00;126.723;0.01;-1.24
01/07/2024;6:15:00;126.768;0.007;-0.880001
01/07/2024;6:30:00;126.755;0.007;-0.949999
01/07/2024;6:45:00;126.759;0.008;-1.06
01/07/2024;7:00:00;126.737;0.009;-1.1
01/07/2024;7:15:00;126.757;0.008;-1
01/07/2024;7:30:00;126.737;0.008;-1.03
01/07/2024;7:45:00;126.755;0.008;-1.04
01/07/2024;8:00:00;126.735;0.009;-1.15
01/07/2024;8:15:00;126.567;0.013;-1.66
01/07/2024;8:30:00;126.633;0.008;-0.979998
01/07/2024;8:45:00;126.654;0.008;-1.01
01/07/2024;9:00:00;126.605;0.01;-1.22
01/07/2024;9:15:00;126.487;0.017;-2.17
01/07/2024;9:30:00;126.763;0.005;-0.620001
01/07/2024;9:45:00;126.573;0.012;-1.56
01/07/2024;10:00:00;126.499;0.019;-2.38
01/07/2024;10:15:00;126.646;0.005;-0.660012
01/07/2024;10:30:00;126.605;0.009;-1.1
01/07/2024;10:45:00;126.41;0.018;-2.32
01/07/2024;11:00:00;126.684;0.007;-0.830001
01/07/2024;11:15:00;125.459;0.06;-7.49998
01/07/2024;11:30:00;125.449;0.061;-7.59999
01/07/2024;11:45:00;125.441;0.064;-8.03998
01/07/2024;12:00:00;125.511;0.058;-7.30999
01/07/2024;12:15:00;125.57;0.06;-7.48
01/07/2024;12:30:00;125.654;0.053;-6.66001
01/07/2024;12:45:00;125.467;0.065;-8.18001
01/07/2024;13:00:00;125.488;0.066;-8.25009
01/07/2024;13:15:00;125.727;0.05;-6.25
01/07/2024;13:30:00;125.704;0.054;-6.8
01/07/2024;13:45:00;125.709;0.054;-6.75001
01/07/2024;14:00:00;125.729;0.053;-6.63004
01/07/2024;14:15:00;125.684;0.052;-6.59001
01/07/2024;14:30:00;125.769;0.049;-6.18013
01/07/2024;14:45:00;125.784;0.046;-5.74
01/07/2024;15:00:00;125.916;0.043;-5.3801
01/07/2024;15:15:00;126.799;0.001;-0.17
01/07/2024;15:30:00;126.812;0.002;-0.22
01/07/2024;15:45:00;126.656;0.008;-1.03999
01/07/2024;16:00:00;126.639;0.013;-1.67
01/07/2024;16:15:00;126.74;0.009;-1.08001
01/07/2024;16:30:00;126.771;0.007;-0.860002
01/07/2024;16:45:00;126.729;0.01;-1.25
01/07/2024;17:00:00;126.73;0.009;-1.1
01/07/2024;17:15:00;126.758;0.007;-0.940002
01/07/2024;17:30:00;126.783;0.007;-0.860001
01/07/2024;17:45:00;126.775;0.006;-0.819999
01/07/2024;18:00:00;126.715;0.01;-1.23
01/07/2024;18:15:00;126.763;0.008;-1.02
01/07/2024;18:30:00;126.745;0.009;-1.15
01/07/2024;18:45:00;126.761;0.008;-1.05
01/07/2024;19:00:00;126.784;0.006;-0.79
