Fecha;Hora;Voltaje;Corriente;Potencia
06/07/2024;12:40:00;129.1;9.73;1181
06/07/2024;12:45:00;129.2;14.94;1913.6
06/07/2024;12:50:00;128.7;11.62;1486.3
06/07/2024;12:55:00;128.6;10.72;1374.5
06/07/2024;13:00:00;128.5;12.97;1640.2
06/07/2024;13:05:00;128.8;12.32;1572.9
06/07/2024;13:10:00;129.2;10.73;1381.2
06/07/2024;13:15:00;129.1;13.37;1699
06/07/2024;13:20:00;129;13.08;1661.4
06/07/2024;13:25:00;129;10.79;1385.9
06/07/2024;13:30:00;129.3;10.75;1384.8
06/07/2024;13:35:00;129.2;13.08;1663.1
06/07/2024;13:40:00;129.4;10.76;1386.7
06/07/2024;13:45:00;129.4;10.75;1385.6
06/07/2024;13:50:00;129.4;13.3;1693.6
06/07/2024;13:55:00;129.4;13.05;1661
06/07/2024;14:00:00;129.5;10.75;1386.5
06/07/2024;14:05:00;129.4;10.71;1380.6
06/07/2024;14:10:00;130;13.06;1667.8
06/07/2024;14:15:00;130;10.71;1386.2
06/07/2024;14:20:00;130.4;6.69;853.2
06/07/2024;14:25:00;130;13.67;1754.6
06/07/2024;14:30:00;130.3;12.99;1663.3
06/07/2024;14:35:00;130;10.73;1390
06/07/2024;14:40:00;130.2;10.64;1379.2
06/07/2024;14:45:00;130.1;12.96;1655.2
06/07/2024;14:50:00;130.6;6.7;855.3
06/07/2024;14:55:00;130.3;6.66;849.1
06/07/2024;15:00:00;130;13.11;1676.8
06/07/2024;15:05:00;130.1;12.97;1658
06/07/2024;15:10:00;130.5;10.67;1387.5
06/07/2024;15:15:00;130.4;10.66;1384.9
06/07/2024;15:20:00;130.1;12.96;1656.8
06/07/2024;15:25:00;131.5;6.68;858
06/07/2024;15:30:00;131.3;9.85;1163.9
06/07/2024;15:35:00;131;10.12;1305.7
06/07/2024;15:40:00;131.2;10.09;1306.3
06/07/2024;15:45:00;130.5;8.77;1025.3
06/07/2024;15:50:00;130.9;3.33;397.6
06/07/2024;15:55:00;130.9;9.56;1166.2
06/07/2024;16:00:00;130.6;11.1;1443.9
06/07/2024;16:05:00;130.6;10.83;1408.5
06/07/2024;16:10:00;130.2;13.03;1667.6
06/07/2024;16:15:00;130.1;10.71;1388.2
06/07/2024;16:20:00;130.3;6.78;865.8
06/07/2024;16:25:00;130.4;11.77;1528.4
06/07/2024;16:30:00;130.4;10.76;1398.5
06/07/2024;16:35:00;130.3;13.01;1665.7
06/07/2024;16:40:00;130.6;9.35;1132.4
06/07/2024;16:45:00;131.1;6.72;860.6
06/07/2024;16:50:00;131.4;6.68;858.1
06/07/2024;16:55:00;131.1;9.29;1126.5
06/07/2024;17:00:00;130.4;12.04;1563
06/07/2024;17:05:00;131;10.74;1401.1
06/07/2024;17:10:00;130.6;12.99;1665.8
06/07/2024;17:15:00;130.5;12.9;1651.9
06/07/2024;17:20:00;130.5;10.6;1378.1
06/07/2024;17:25:00;130.5;10.58;1375.9
06/07/2024;17:30:00;130.6;9.23;1112.5
06/07/2024;17:35:00;130.5;11.57;1503
06/07/2024;17:40:00;131.1;10.55;1378.1
06/07/2024;17:45:00;130.5;12.76;1631.2
06/07/2024;17:50:00;130.7;6.54;832.7
06/07/2024;17:55:00;130.8;6.58;839.7
06/07/2024;18:00:00;131;18.15;2305.8
06/07/2024;18:05:00;128.3;12.69;1600.4
06/07/2024;18:10:00;128.1;10.47;1335.3
06/07/2024;18:15:00;126.9;6.52;809.8
06/07/2024;18:20:00;125.8;13.74;1712.5
06/07/2024;18:25:00;126.2;10.49;1318.2
06/07/2024;18:30:00;126.5;10.41;1311.7
06/07/2024;18:35:00;126.7;6.52;808.1
06/07/2024;18:40:00;126.4;13.88;1738.7
06/07/2024;18:50:00;126.5;10.38;1307.3
06/07/2024;18:55:00;127.8;9.15;1083.2
06/07/2024;19:00:00;127.7;13.55;1710.1
06/07/2024;19:05:00;128.1;10.38;1324.5
06/07/2024;19:15:00;127.9;9.03;1067.6
06/07/2024;19:20:00;128.1;11.12;1419.1
06/07/2024;19:25:00;128.2;10.32;1318.1
06/07/2024;19:30:00;128.1;9.17;1087.3
06/07/2024;19:35:00;128.4;9.06;1075
06/07/2024;19:40:00;128.4;10.56;1350.5
06/07/2024;19:45:00;128.5;10.31;1319.4
06/07/2024;19:50:00;128.7;9.06;1075.9
06/07/2024;19:55:00;129;9.76;1135.4
06/07/2024;20:00:00;129.1;8.66;1000.9
06/07/2024;20:05:00;129.4;4.69;489.8
06/07/2024;20:10:00;129.4;5.78;743
06/07/2024;20:15:00;129.4;12.06;1542.8
06/07/2024;20:20:00;129.2;10.53;1354.2
06/07/2024;20:25:00;129.3;9.44;1133.6
06/07/2024;20:30:00;129.4;11.43;1473.4
06/07/2024;20:35:00;129.6;10.41;1342.8
06/07/2024;20:40:00;129.7;6.52;825.3
06/07/2024;20:45:00;130;6.54;830
06/07/2024;20:50:00;129.8;13.19;1682.1
06/07/2024;20:55:00;130.2;9.12;1093
06/07/2024;21:00:00;130.3;6.53;829.4
06/07/2024;21:05:00;130.5;6.51;826.7
06/07/2024;21:10:00;130.4;9.19;1102.7
06/07/2024;21:15:00;130;13.72;1760.5
06/07/2024;21:20:00;130.3;10.45;1356.1
06/07/2024;21:25:00;130.3;10.3;1336.1
06/07/2024;21:30:00;130.5;9.06;1083.7
06/07/2024;21:35:00;130.7;6.49;825.7
06/07/2024;21:40:00;130.4;10.63;1380.8
06/07/2024;21:50:00;130.8;9.05;1083.6
06/07/2024;21:55:00;130.9;11.35;1480.9
06/07/2024;22:00:00;131;10.31;1345.6
06/07/2024;22:05:00;131;8.99;1076.4
06/07/2024;22:15:00;131.1;10.64;1389
06/07/2024;22:20:00;131.1;10.2;1332
06/07/2024;22:25:00;131.1;9.03;1082.4
