Fecha;Hora;Voltaje;Corriente;Potencia
10/08/2024;13:35:00;129.2;2.1;212.9
10/08/2024;13:40:00;128.8;2.04;203
10/08/2024;13:45:00;128.7;2.09;211.3
10/08/2024;13:50:00;128.8;2.07;211
10/08/2024;13:55:00;128.7;2.08;211.1
10/08/2024;14:00:00;128.9;2.05;202.5
10/08/2024;14:05:00;129;2.07;212.1
10/08/2024;14:10:00;129.2;2.11;215
10/08/2024;14:15:00;128.9;2.07;209.9
10/08/2024;14:20:00;128.9;2.07;210.9
10/08/2024;14:25:00;128.9;2.09;210.3
10/08/2024;14:30:00;128.6;2.08;210.2
10/08/2024;14:35:00;128.7;2.11;214.1
10/08/2024;14:40:00;128.6;2.08;210.9
10/08/2024;14:45:00;128.7;2.1;211
10/08/2024;14:50:00;128.7;2.04;210.2
10/08/2024;14:55:00;128.9;2.06;209.4
10/08/2024;15:00:00;128.8;2.08;211.3
10/08/2024;15:05:00;128.9;2.09;212
10/08/2024;15:10:00;128.9;2.06;210.4
10/08/2024;15:15:00;128.9;2.07;209.7
10/08/2024;15:20:00;129;2.13;213.9
10/08/2024;15:25:00;129.1;2.08;213.1
10/08/2024;15:30:00;129;2.07;211.3
10/08/2024;15:35:00;129.2;2.1;216.6
10/08/2024;15:40:00;129.1;2.07;207.8
10/08/2024;15:45:00;129.3;2.08;210
10/08/2024;15:50:00;129.4;2.11;215.2
10/08/2024;15:55:00;129.3;2.12;215
10/08/2024;16:00:00;129.5;2.1;212.4
10/08/2024;16:05:00;129.7;2.05;203.9
10/08/2024;16:10:00;130.1;2.08;206.9
10/08/2024;16:15:00;130;2.1;215.1
10/08/2024;16:20:00;130;2.1;214.8
10/08/2024;16:25:00;129.9;2.1;214.8
10/08/2024;16:30:00;129.9;2.08;211.8
10/08/2024;16:35:00;130.1;2.11;214
10/08/2024;16:40:00;130.2;2.08;210
10/08/2024;16:45:00;130.5;2.04;205.3
10/08/2024;16:50:00;130;2.14;218.3
10/08/2024;16:55:00;130.2;2.12;214.9
10/08/2024;17:00:00;130.2;2.1;215.2
10/08/2024;17:05:00;130.2;2.1;213.3
10/08/2024;17:10:00;130.2;2.13;215.3
10/08/2024;17:15:00;130;2.09;212.7
10/08/2024;17:20:00;130;2.1;212.8
10/08/2024;17:25:00;130.2;2.08;208.7
10/08/2024;17:30:00;130.2;2.08;211.7
10/08/2024;17:35:00;130.2;2.08;211
10/08/2024;17:40:00;130.3;2.09;213.7
